商談コード,商談名,金額,完了予定日,フェーズ,従業員コード,顧客コード,姓,名,部署名,顧客名,都道府県,業種
2012-0022,201204マミムー株式会社様商談,115200,20120419,成立,2001-01,10036,吉田,義男,営業,マミムー株式会社,東京,情報通信
2013-0060,201306マミムー株式会社様商談,34200,20130611,成立,2010-01,10036,酒井,林檎,営業,マミムー株式会社,東京,情報通信
2015-0004,201501マミムー株式会社様商談,82020,20150101,成立,2010-01,10036,酒井,林檎,営業,マミムー株式会社,東京,情報通信
2011-0026,201105P銀行様商談,140000,20110529,成立,2003-01,10019,桜庭,花子,営業,P銀行,静岡,金融
2011-0035,201109P銀行様商談,160000,20110913,成立,2003-01,10019,桜庭,花子,営業,P銀行,静岡,金融
2013-0001,201301P銀行様商談,44000,20130113,成立,2003-01,10019,桜庭,花子,営業,P銀行,静岡,金融
2014-0152,201410P銀行様商談,32000,20141001,成立,2003-01,10019,桜庭,花子,営業,P銀行,静岡,金融
2015-0036,201503P銀行様商談,86000,20150326,成立,2003-01,10019,桜庭,花子,営業,P銀行,静岡,金融
2015-0042,201503P銀行様商談,176000,20150329,敗退,2003-01,10019,桜庭,花子,営業,P銀行,静岡,金融
2011-0017,201103P銀行様商談,11600,20110322,成立,2001-01,10019,吉田,義男,営業,P銀行,静岡,金融
2011-0039,201109P銀行様商談,22400,20110922,敗退,2010-01,10019,酒井,林檎,営業,P銀行,静岡,金融
2014-0113,201408P銀行様商談,106400,20140831,成立,2010-01,10019,酒井,林檎,営業,P銀行,静岡,金融
2014-0132,201409P銀行様商談,152000,20140927,成立,2010-01,10019,酒井,林檎,営業,P銀行,静岡,金融
2011-0032,201108株式会社伊勢島屋様商談,26800,20110821,成立,2003-01,10079,桜庭,花子,営業,株式会社伊勢島屋,神奈川,小売
2013-0031,201303株式会社伊勢島屋様商談,78400,20130306,成立,2003-01,10079,桜庭,花子,営業,株式会社伊勢島屋,神奈川,小売
2011-0010,201103株式会社伊勢島屋様商談,127200,20110308,成立,2001-01,10079,吉田,義男,営業,株式会社伊勢島屋,神奈川,小売
2012-0060,201204株式会社伊勢島屋様商談,60500,20120416,成立,2001-01,10079,吉田,義男,営業,株式会社伊勢島屋,神奈川,小売
2014-0012,201402株式会社伊勢島屋様商談,99800,20140211,成立,2010-01,10079,酒井,林檎,営業,株式会社伊勢島屋,神奈川,小売
2011-0046,201110株式会社アトリエタケヒロ様商談,54000,20111008,成立,2003-01,10038,桜庭,花子,営業,株式会社アトリエタケヒロ,千葉,アパレル
2015-0129,201509株式会社アトリエタケヒロ様商談,202000,20150910,成立,2003-01,10038,桜庭,花子,営業,株式会社アトリエタケヒロ,千葉,アパレル
2014-0028,201403株式会社アトリエタケヒロ様商談,12600,20140326,成立,2001-01,10038,吉田,義男,営業,株式会社アトリエタケヒロ,千葉,アパレル
2012-0029,201207株式会社アトリエタケヒロ様商談,23400,20120711,成立,2010-01,10038,酒井,林檎,営業,株式会社アトリエタケヒロ,千葉,アパレル
2014-0105,201407株式会社アトリエタケヒロ様商談,63200,20140705,成立,2010-01,10038,酒井,林檎,営業,株式会社アトリエタケヒロ,千葉,アパレル
2012-0004,201202株式会社アヤノスタイル様商談,63600,20120226,成立,2003-01,10048,桜庭,花子,営業,株式会社アヤノスタイル,東京,アパレル
2015-0099,201508株式会社アヤノスタイル様商談,24000,20150814,成立,2003-01,10048,桜庭,花子,営業,株式会社アヤノスタイル,東京,アパレル
2011-0004,201102株式会社アヤノスタイル様商談,12000,20110209,敗退,2001-01,10048,吉田,義男,営業,株式会社アヤノスタイル,東京,アパレル
2013-0056,201306株式会社アヤノスタイル様商談,34200,20130627,成立,2001-01,10048,吉田,義男,営業,株式会社アヤノスタイル,東京,アパレル
2013-0085,201309株式会社アヤノスタイル様商談,226400,20130911,成立,2001-01,10048,吉田,義男,営業,株式会社アヤノスタイル,東京,アパレル
2012-0005,201203U信用金庫様商談,226400,20120321,成立,2003-01,10024,桜庭,花子,営業,U信用金庫,東京,金融
2012-0045,201210U信用金庫様商談,68600,20121001,成立,2001-01,10024,吉田,義男,営業,U信用金庫,東京,金融
2014-0036,201403U信用金庫様商談,80000,20140319,成立,2001-01,10024,吉田,義男,営業,U信用金庫,東京,金融
2014-0135,201409U信用金庫様商談,120000,20140902,成立,2001-01,10024,吉田,義男,営業,U信用金庫,東京,金融
2014-0164,201412U信用金庫様商談,51200,20141215,成立,2001-01,10024,吉田,義男,営業,U信用金庫,東京,金融
2012-0014,201203株式会社イイダテック様商談,221000,20120315,成立,2003-01,10094,桜庭,花子,営業,株式会社イイダテック,東京,広告
2013-0063,201307株式会社イイダテック様商談,79000,20130702,敗退,2003-01,10094,桜庭,花子,営業,株式会社イイダテック,東京,広告
2015-0003,201501株式会社イイダテック様商談,126400,20150104,敗退,2003-01,10094,桜庭,花子,営業,株式会社イイダテック,東京,広告
2013-0068,201308株式会社イイダテック様商談,240000,20130820,成立,2001-01,10094,吉田,義男,営業,株式会社イイダテック,東京,広告
2015-0067,201504株式会社イイダテック様商談,9000,20150416,成立,2001-01,10094,吉田,義男,営業,株式会社イイダテック,東京,広告
2012-0019,201203株式会社ネオン山崎様商談,6000,20120313,成立,2003-01,10096,桜庭,花子,営業,株式会社ネオン山崎,千葉,広告
2012-0073,201212株式会社ネオン山崎様商談,27000,20121229,成立,2003-01,10096,桜庭,花子,営業,株式会社ネオン山崎,千葉,広告
2014-0034,201403株式会社ネオン山崎様商談,13600,20140322,成立,2003-01,10096,桜庭,花子,営業,株式会社ネオン山崎,千葉,広告
2013-0106,201311株式会社ネオン山崎様商談,238820,20131130,敗退,2001-01,10096,吉田,義男,営業,株式会社ネオン山崎,千葉,広告
2014-0085,201405株式会社ネオン山崎様商談,150000,20140530,成立,2001-01,10096,吉田,義男,営業,株式会社ネオン山崎,千葉,広告
2015-0158,201511株式会社ネオン山崎様商談,120000,20151116,成立,2001-01,10096,吉田,義男,営業,株式会社ネオン山崎,千葉,広告
2012-0024,201204α満月ホテル様商談,114000,20120428,成立,2003-01,10069,桜庭,花子,営業,α満月ホテル,千葉,サービス
2013-0039,201303α満月ホテル様商談,3000,20130318,成立,2003-01,10069,桜庭,花子,営業,α満月ホテル,千葉,サービス
2015-0113,201509α満月ホテル様商談,192000,20150930,成立,2003-01,10069,桜庭,花子,営業,α満月ホテル,千葉,サービス
2015-0128,201509α満月ホテル様商談,1600,20150929,敗退,2003-01,10069,桜庭,花子,営業,α満月ホテル,千葉,サービス
2015-0134,201509α満月ホテル様商談,174000,20150914,成立,2003-01,10069,桜庭,花子,営業,α満月ホテル,千葉,サービス
2013-0006,201301α満月ホテル様商談,190000,20130115,成立,2001-01,10069,吉田,義男,営業,α満月ホテル,千葉,サービス
2012-0028,201206ヒロノコバヤシ株式会社様商談,80000,20120623,成立,2003-01,10097,桜庭,花子,営業,ヒロノコバヤシ株式会社,千葉,広告
2014-0061,201403ヒロノコバヤシ株式会社様商談,18580,20140302,成立,2003-01,10097,桜庭,花子,営業,ヒロノコバヤシ株式会社,千葉,広告
2012-0055,201203ヒロノコバヤシ株式会社様商談,19000,20120325,敗退,2010-01,10097,酒井,林檎,営業,ヒロノコバヤシ株式会社,千葉,広告
2013-0076,201309ヒロノコバヤシ株式会社様商談,27000,20130927,成立,2010-01,10097,酒井,林檎,営業,ヒロノコバヤシ株式会社,千葉,広告
2012-0032,201208オーニシ商事株式会社様商談,230000,20120806,敗退,2003-01,10054,桜庭,花子,営業,オーニシ商事株式会社,東京,食品、科学
2011-0047,201111オーニシ商事株式会社様商談,253600,20111103,成立,2010-01,10054,酒井,林檎,営業,オーニシ商事株式会社,東京,食品、科学
2012-0035,201209フォレストレート株式会社様商談,12000,20120913,敗退,2003-01,10100,桜庭,花子,営業,フォレストレート株式会社,東京,広告
2013-0010,201302フォレストレート株式会社様商談,244200,20130227,敗退,2003-01,10100,桜庭,花子,営業,フォレストレート株式会社,東京,広告
2015-0076,201505フォレストレート株式会社様商談,262320,20150523,成立,2003-01,10100,桜庭,花子,営業,フォレストレート株式会社,東京,広告
2015-0135,201509フォレストレート株式会社様商談,160000,20150905,成立,2010-01,10100,酒井,林檎,営業,フォレストレート株式会社,東京,広告
2015-0146,201510フォレストレート株式会社様商談,21000,20151028,成立,2010-01,10100,酒井,林檎,営業,フォレストレート株式会社,東京,広告
2012-0039,201209スモールテレビ株式会社様商談,3200,20120927,成立,2003-01,10078,桜庭,花子,営業,スモールテレビ株式会社,千葉,小売
2013-0012,201302スモールテレビ株式会社様商談,218600,20130212,成立,2003-01,10078,桜庭,花子,営業,スモールテレビ株式会社,千葉,小売
2013-0089,201309スモールテレビ株式会社様商談,100000,20130903,成立,2003-01,10078,桜庭,花子,営業,スモールテレビ株式会社,千葉,小売
2014-0116,201408スモールテレビ株式会社様商談,88600,20140818,成立,2003-01,10078,桜庭,花子,営業,スモールテレビ株式会社,千葉,小売
2015-0164,201512スモールテレビ株式会社様商談,1960,20151202,敗退,2003-01,10078,桜庭,花子,営業,スモールテレビ株式会社,千葉,小売
2012-0002,201202スモールテレビ株式会社様商談,95000,20120206,成立,2001-01,10078,吉田,義男,営業,スモールテレビ株式会社,千葉,小売
2014-0088,201405スモールテレビ株式会社様商談,94800,20140527,成立,2010-01,10078,酒井,林檎,営業,スモールテレビ株式会社,千葉,小売
2012-0041,201209安嶋株式会社様商談,60000,20120915,成立,2003-01,10077,桜庭,花子,営業,安嶋株式会社,神奈川,小売
2011-0050,201112安嶋株式会社様商談,108000,20111231,成立,2001-01,10077,吉田,義男,営業,安嶋株式会社,神奈川,小売
2012-0072,201211安嶋株式会社様商談,40000,20121114,成立,2001-01,10077,吉田,義男,営業,安嶋株式会社,神奈川,小売
2014-0013,201402安嶋株式会社様商談,192000,20140218,成立,2001-01,10077,吉田,義男,営業,安嶋株式会社,神奈川,小売
2012-0027,201206安嶋株式会社様商談,116800,20120624,敗退,2010-01,10077,酒井,林檎,営業,安嶋株式会社,神奈川,小売
2012-0049,201212安嶋株式会社様商談,14000,20121209,成立,2010-01,10077,酒井,林檎,営業,安嶋株式会社,神奈川,小売
2012-0044,201209株式会社オトエアパレル様商談,38400,20120908,成立,2003-01,10043,桜庭,花子,営業,株式会社オトエアパレル,千葉,アパレル
2014-0014,201402株式会社オトエアパレル様商談,160000,20140223,敗退,2003-01,10043,桜庭,花子,営業,株式会社オトエアパレル,千葉,アパレル
2015-0089,201507株式会社オトエアパレル様商談,21600,20150716,成立,2003-01,10043,桜庭,花子,営業,株式会社オトエアパレル,千葉,アパレル
2011-0003,201102株式会社オトエアパレル様商談,31000,20110206,成立,2001-01,10043,吉田,義男,営業,株式会社オトエアパレル,千葉,アパレル
2014-0024,201403株式会社オトエアパレル様商談,160000,20140330,敗退,2001-01,10043,吉田,義男,営業,株式会社オトエアパレル,千葉,アパレル
2011-0041,201109株式会社オトエアパレル様商談,20000,20110914,成立,2010-01,10043,酒井,林檎,営業,株式会社オトエアパレル,千葉,アパレル
2015-0008,201502株式会社オトエアパレル様商談,110600,20150219,敗退,2010-01,10043,酒井,林檎,営業,株式会社オトエアパレル,千葉,アパレル
2012-0046,201210W保険様商談,22800,20121005,成立,2003-01,10026,桜庭,花子,営業,W保険,東京,金融
2011-0012,201103W保険様商談,12600,20110308,成立,2001-01,10026,吉田,義男,営業,W保険,東京,金融
2013-0075,201309W保険様商談,780,20130902,敗退,2001-01,10026,吉田,義男,営業,W保険,東京,金融
2014-0156,201410W保険様商談,14000,20141022,成立,2001-01,10026,吉田,義男,営業,W保険,東京,金融
2015-0165,201512W保険様商談,47600,20151227,敗退,2001-01,10026,吉田,義男,営業,W保険,東京,金融
2015-0171,201512W保険様商談,229600,20151230,成立,2001-01,10026,吉田,義男,営業,W保険,東京,金融
2012-0052,201202横川建物株式会社様商談,294800,20120224,成立,2003-01,10083,桜庭,花子,営業,横川建物株式会社,東京,不動産
2012-0059,201204横川建物株式会社様商談,10800,20120421,成立,2003-01,10083,桜庭,花子,営業,横川建物株式会社,東京,不動産
2013-0062,201307横川建物株式会社様商談,87280,20130701,成立,2003-01,10083,桜庭,花子,営業,横川建物株式会社,東京,不動産
2015-0033,201503横川建物株式会社様商談,133800,20150313,成立,2003-01,10083,桜庭,花子,営業,横川建物株式会社,東京,不動産
2012-0012,201203横川建物株式会社様商談,7840,20120327,成立,2001-01,10083,吉田,義男,営業,横川建物株式会社,東京,不動産
2014-0042,201403横川建物株式会社様商談,292860,20140309,成立,2001-01,10083,吉田,義男,営業,横川建物株式会社,東京,不動産
2015-0068,201504横川建物株式会社様商談,89600,20150402,成立,2001-01,10083,吉田,義男,営業,横川建物株式会社,東京,不動産
2015-0114,201509横川建物株式会社様商談,240000,20150911,成立,2001-01,10083,吉田,義男,営業,横川建物株式会社,東京,不動産
2015-0172,201512横川建物株式会社様商談,21600,20151201,敗退,2001-01,10083,吉田,義男,営業,横川建物株式会社,東京,不動産
2012-0009,201203横川建物株式会社様商談,125000,20120314,成立,2010-01,10083,酒井,林檎,営業,横川建物株式会社,東京,不動産
2013-0008,201302横川建物株式会社様商談,76820,20130204,敗退,2010-01,10083,酒井,林檎,営業,横川建物株式会社,東京,不動産
2015-0163,201512横川建物株式会社様商談,151400,20151212,成立,2010-01,10083,酒井,林檎,営業,横川建物株式会社,東京,不動産
2012-0064,201206マークンティー株式会社様商談,24000,20120602,敗退,2003-01,10095,桜庭,花子,営業,マークンティー株式会社,神奈川,広告
2014-0060,201403マークンティー株式会社様商談,136000,20140320,成立,2010-01,10095,酒井,林檎,営業,マークンティー株式会社,神奈川,広告
2014-0091,201405マークンティー株式会社様商談,5600,20140511,成立,2010-01,10095,酒井,林檎,営業,マークンティー株式会社,神奈川,広告
2012-0065,201207いい運輸様商談,145000,20120722,敗退,2003-01,10014,桜庭,花子,営業,いい運輸,東京,運輸
2015-0080,201505いい運輸様商談,215000,20150505,成立,2003-01,10014,桜庭,花子,営業,いい運輸,東京,運輸
2014-0026,201403いい運輸様商談,18400,20140322,成立,2001-01,10014,吉田,義男,営業,いい運輸,東京,運輸
2012-0066,201208チャンギー福祉センター様商談,8400,20120811,敗退,2003-01,10063,桜庭,花子,営業,チャンギー福祉センター,東京,医療、福祉
2013-0046,201304チャンギー福祉センター様商談,2000,20130411,成立,2001-01,10063,吉田,義男,営業,チャンギー福祉センター,東京,医療、福祉
2014-0123,201409チャンギー福祉センター様商談,6780,20140908,成立,2010-01,10063,酒井,林檎,営業,チャンギー福祉センター,東京,医療、福祉
2012-0067,201209G市役所様商談,17100,20120921,成立,2003-01,10007,桜庭,花子,営業,G市役所,埼玉,公共
2014-0023,201403G市役所様商談,119000,20140327,敗退,2003-01,10007,桜庭,花子,営業,G市役所,埼玉,公共
2015-0091,201507G市役所様商談,40300,20150713,成立,2003-01,10007,桜庭,花子,営業,G市役所,埼玉,公共
2013-0013,201303G市役所様商談,7600,20130318,敗退,2001-01,10007,吉田,義男,営業,G市役所,埼玉,公共
2013-0061,201307G市役所様商談,27200,20130706,成立,2001-01,10007,吉田,義男,営業,G市役所,埼玉,公共
2014-0111,201408G市役所様商談,180000,20140816,成立,2001-01,10007,吉田,義男,営業,G市役所,埼玉,公共
2014-0119,201409G市役所様商談,246000,20140929,成立,2001-01,10007,吉田,義男,営業,G市役所,埼玉,公共
2014-0134,201409G市役所様商談,84800,20140924,成立,2001-01,10007,吉田,義男,営業,G市役所,埼玉,公共
2015-0006,201501G市役所様商談,2880,20150115,敗退,2001-01,10007,吉田,義男,営業,G市役所,埼玉,公共
2012-0068,201209株式会社ビッグソルト不動産様商談,7200,20120930,成立,2003-01,10090,桜庭,花子,営業,株式会社ビッグソルト不動産,東京,不動産
2013-0002,201301株式会社ビッグソルト不動産様商談,196300,20130108,成立,2003-01,10090,桜庭,花子,営業,株式会社ビッグソルト不動産,東京,不動産
2013-0080,201309株式会社ビッグソルト不動産様商談,16000,20130905,敗退,2003-01,10090,桜庭,花子,営業,株式会社ビッグソルト不動産,東京,不動産
2015-0049,201503株式会社ビッグソルト不動産様商談,104000,20150328,敗退,2001-01,10090,吉田,義男,営業,株式会社ビッグソルト不動産,東京,不動産
2013-0011,201302株式会社ハイノックス様商談,272000,20130226,成立,2003-01,10091,桜庭,花子,営業,株式会社ハイノックス,東京,広告
2014-0053,201403株式会社ハイノックス様商談,8000,20140304,成立,2003-01,10091,桜庭,花子,営業,株式会社ハイノックス,東京,広告
2014-0154,201410株式会社ハイノックス様商談,112000,20141029,成立,2003-01,10091,桜庭,花子,営業,株式会社ハイノックス,東京,広告
2015-0132,201509株式会社ハイノックス様商談,24000,20150910,成立,2003-01,10091,桜庭,花子,営業,株式会社ハイノックス,東京,広告
2014-0051,201403株式会社ハイノックス様商談,1960,20140315,成立,2001-01,10091,吉田,義男,営業,株式会社ハイノックス,東京,広告
2014-0089,201405株式会社ハイノックス様商談,12600,20140530,成立,2001-01,10091,吉田,義男,営業,株式会社ハイノックス,東京,広告
2014-0157,201411株式会社ハイノックス様商談,218700,20141118,成立,2001-01,10091,吉田,義男,営業,株式会社ハイノックス,東京,広告
2015-0037,201503株式会社ハイノックス様商談,94400,20150314,成立,2010-01,10091,酒井,林檎,営業,株式会社ハイノックス,東京,広告
2013-0015,201303株式会社百位不動産様商談,36000,20130308,成立,2003-01,10082,桜庭,花子,営業,株式会社百位不動産,千葉,不動産
2014-0112,201408株式会社百位不動産様商談,74000,20140814,成立,2001-01,10082,吉田,義男,営業,株式会社百位不動産,千葉,不動産
2013-0019,201303ファーストセカンドホールディングス様商談,81880,20130326,敗退,2003-01,10075,桜庭,花子,営業,ファーストセカンドホールディングス,東京,小売
2014-0049,201403ファーストセカンドホールディングス様商談,209200,20140330,成立,2003-01,10075,桜庭,花子,営業,ファーストセカンドホールディングス,東京,小売
2014-0139,201409ファーストセカンドホールディングス様商談,54000,20140904,成立,2003-01,10075,桜庭,花子,営業,ファーストセカンドホールディングス,東京,小売
2015-0133,201509ファーストセカンドホールディングス様商談,112000,20150904,成立,2003-01,10075,桜庭,花子,営業,ファーストセカンドホールディングス,東京,小売
2011-0029,201107ファーストセカンドホールディングス様商談,7840,20110705,成立,2001-01,10075,吉田,義男,営業,ファーストセカンドホールディングス,東京,小売
2013-0005,201301ファーストセカンドホールディングス様商談,19300,20130130,敗退,2001-01,10075,吉田,義男,営業,ファーストセカンドホールディングス,東京,小売
2015-0096,201507ファーストセカンドホールディングス様商談,166400,20150703,成立,2010-01,10075,酒井,林檎,営業,ファーストセカンドホールディングス,東京,小売
2013-0021,201303ブルーリー株式会社様商談,4000,20130318,成立,2003-01,10047,桜庭,花子,営業,ブルーリー株式会社,神奈川,アパレル
2014-0133,201409ブルーリー株式会社様商談,9600,20140922,敗退,2003-01,10047,桜庭,花子,営業,ブルーリー株式会社,神奈川,アパレル
2015-0001,201501ブルーリー株式会社様商談,235000,20150112,成立,2003-01,10047,桜庭,花子,営業,ブルーリー株式会社,神奈川,アパレル
2011-0048,201111ブルーリー株式会社様商談,49800,20111109,成立,2001-01,10047,吉田,義男,営業,ブルーリー株式会社,神奈川,アパレル
2012-0008,201203ブルーリー株式会社様商談,3840,20120301,成立,2001-01,10047,吉田,義男,営業,ブルーリー株式会社,神奈川,アパレル
2015-0077,201505ブルーリー株式会社様商談,203880,20150503,成立,2001-01,10047,吉田,義男,営業,ブルーリー株式会社,神奈川,アパレル
2015-0156,201511ブルーリー株式会社様商談,119000,20151117,成立,2001-01,10047,吉田,義男,営業,ブルーリー株式会社,神奈川,アパレル
2014-0032,201403ブルーリー株式会社様商談,12000,20140318,敗退,2010-01,10047,酒井,林檎,営業,ブルーリー株式会社,神奈川,アパレル
2014-0058,201403ブルーリー株式会社様商談,20000,20140305,成立,2010-01,10047,酒井,林檎,営業,ブルーリー株式会社,神奈川,アパレル
2015-0102,201508ブルーリー株式会社様商談,13600,20150811,成立,2010-01,10047,酒井,林檎,営業,ブルーリー株式会社,神奈川,アパレル
2015-0120,201509ブルーリー株式会社様商談,168000,20150915,成立,2010-01,10047,酒井,林檎,営業,ブルーリー株式会社,神奈川,アパレル
2013-0023,201303株式会社ヤユヨ情報通信様商談,8000,20130306,敗退,2003-01,10037,桜庭,花子,営業,株式会社ヤユヨ情報通信,東京,情報通信
2014-0092,201405株式会社ヤユヨ情報通信様商談,60000,20140503,成立,2003-01,10037,桜庭,花子,営業,株式会社ヤユヨ情報通信,東京,情報通信
2015-0082,201506株式会社ヤユヨ情報通信様商談,13800,20150625,成立,2003-01,10037,桜庭,花子,営業,株式会社ヤユヨ情報通信,東京,情報通信
2011-0011,201103株式会社ヤユヨ情報通信様商談,100000,20110317,成立,2001-01,10037,吉田,義男,営業,株式会社ヤユヨ情報通信,東京,情報通信
2015-0130,201509株式会社ヤユヨ情報通信様商談,12000,20150925,成立,2010-01,10037,酒井,林檎,営業,株式会社ヤユヨ情報通信,東京,情報通信
2013-0026,201303F消防局様商談,26000,20130303,成立,2003-01,10006,桜庭,花子,営業,F消防局,千葉,公共
2014-0038,201403F消防局様商談,168000,20140324,成立,2003-01,10006,桜庭,花子,営業,F消防局,千葉,公共
2013-0073,201309F消防局様商談,264300,20130929,成立,2001-01,10006,吉田,義男,営業,F消防局,千葉,公共
2014-0100,201407F消防局様商談,5880,20140710,成立,2001-01,10006,吉田,義男,営業,F消防局,千葉,公共
2015-0007,201501F消防局様商談,4900,20150101,成立,2001-01,10006,吉田,義男,営業,F消防局,千葉,公共
2011-0040,201109F消防局様商談,96600,20110911,敗退,2010-01,10006,酒井,林檎,営業,F消防局,千葉,公共
2014-0080,201404F消防局様商談,108000,20140411,成立,2010-01,10006,酒井,林檎,営業,F消防局,千葉,公共
2013-0027,201303株式会社サシス総研様商談,187800,20130301,成立,2003-01,10032,桜庭,花子,営業,株式会社サシス総研,神奈川,情報通信
2014-0167,201412株式会社サシス総研様商談,181600,20141225,成立,2003-01,10032,桜庭,花子,営業,株式会社サシス総研,神奈川,情報通信
2015-0098,201508株式会社サシス総研様商談,240000,20150804,成立,2003-01,10032,桜庭,花子,営業,株式会社サシス総研,神奈川,情報通信
2013-0051,201305株式会社サシス総研様商談,169800,20130521,成立,2001-01,10032,吉田,義男,営業,株式会社サシス総研,神奈川,情報通信
2015-0144,201510株式会社サシス総研様商談,20000,20151025,成立,2001-01,10032,吉田,義男,営業,株式会社サシス総研,神奈川,情報通信
2015-0020,201503株式会社サシス総研様商談,280000,20150326,成立,2010-01,10032,酒井,林檎,営業,株式会社サシス総研,神奈川,情報通信
2013-0037,201303ニワミッチ株式会社様商談,188000,20130327,成立,2003-01,10088,桜庭,花子,営業,ニワミッチ株式会社,東京,不動産
2014-0004,201401ニワミッチ株式会社様商談,148800,20140121,成立,2003-01,10088,桜庭,花子,営業,ニワミッチ株式会社,東京,不動産
2014-0030,201403ニワミッチ株式会社様商談,75600,20140325,敗退,2003-01,10088,桜庭,花子,営業,ニワミッチ株式会社,東京,不動産
2015-0012,201502ニワミッチ株式会社様商談,288000,20150226,敗退,2003-01,10088,桜庭,花子,営業,ニワミッチ株式会社,東京,不動産
2015-0071,201504ニワミッチ株式会社様商談,200000,20150408,成立,2003-01,10088,桜庭,花子,営業,ニワミッチ株式会社,東京,不動産
2013-0025,201303ニワミッチ株式会社様商談,174400,20130314,成立,2001-01,10088,吉田,義男,営業,ニワミッチ株式会社,東京,不動産
2013-0043,201304ニワミッチ株式会社様商談,92200,20130403,成立,2001-01,10088,吉田,義男,営業,ニワミッチ株式会社,東京,不動産
2014-0087,201405ニワミッチ株式会社様商談,27700,20140512,成立,2001-01,10088,吉田,義男,営業,ニワミッチ株式会社,東京,不動産
2015-0075,201505ニワミッチ株式会社様商談,106200,20150503,敗退,2001-01,10088,吉田,義男,営業,ニワミッチ株式会社,東京,不動産
2013-0044,201304有限会社スターナカノ様商談,80000,20130408,成立,2003-01,10086,桜庭,花子,営業,有限会社スターナカノ,東京,不動産
